//X;Y;Z;C2C absolute distances;Nx;Ny;Nz
394.67;147.26;38.01;0.22;0.533549;-0.386700;0.752189
409.93;176.09;21.75;0.19;0.844010;0.129736;0.520400
394.24;146.19;38.04;0.10;-0.820113;0.205409;-0.534062
394.42;146.22;37.78;0.06;-0.690882;0.312272;-0.652050
410.09;175.49;21.49;0.14;0.867535;0.094820;0.488254
404.84;163.91;31.70;0.15;0.431608;-0.061269;0.899978
394.76;145.91;37.17;0.20;-0.641178;0.272063;-0.717546
404.57;162.69;31.71;0.22;0.457281;-0.255405;0.851858
404.94;162.66;31.54;0.19;0.442341;-0.199719;0.874326
409.72;172.41;22.46;0.19;0.841689;0.012238;0.539823
404.81;161.76;31.33;0.22;0.451931;-0.299735;0.840189
404.88;161.49;31.20;0.08;0.458183;-0.279230;0.843859
409.86;171.11;22.39;0.16;0.802864;0.040776;0.594766
409.74;170.88;22.55;0.16;0.810785;0.040609;0.583933
409.83;170.28;22.49;0.17;0.800419;0.043608;0.597853
407.45;164.04;27.47;0.10;0.763245;-0.219180;0.607798
404.97;159.26;30.24;0.18;0.535448;-0.339278;0.773425
404.82;158.99;30.28;0.22;0.692396;-0.202917;0.692396
407.53;163.44;27.09;0.17;0.898677;-0.134448;0.417496
406.92;162.33;27.49;0.24;0.565582;-0.134381;0.813670
404.98;158.52;29.93;0.11;0.368580;-0.374801;0.850690
407.23;162.46;27.24;0.16;0.673918;-0.247787;0.696014
405.25;158.57;29.75;0.18;0.437330;-0.315936;0.841978
409.66;166.60;22.59;0.16;0.688330;-0.104650;0.717809
409.43;166.16;22.80;0.22;0.754452;-0.098152;0.648975
404.91;156.63;29.07;0.21;0.310279;-0.418336;0.853652
406.81;159.70;26.97;0.15;0.638784;-0.351250;0.684528
405.16;156.52;28.89;0.13;0.334574;-0.444528;0.830937
409.63;163.65;22.19;0.23;0.685581;-0.206762;0.698017
405.26;154.52;27.86;0.24;0.173434;-0.438686;0.881745
409.73;162.65;21.72;0.24;0.635687;-0.165370;0.754025
405.17;153.25;27.18;0.13;0.201723;-0.464710;0.862179
408.11;158.29;23.42;0.22;0.801464;-0.234083;0.550328
402.96;148.84;27.84;0.16;0.732382;-0.328198;0.596576
409.54;160.44;21.34;0.17;0.642599;-0.213162;0.735954
407.95;157.42;23.19;0.19;0.798942;-0.250740;0.546645
402.24;147.11;27.46;0.22;0.614384;-0.399101;0.680625
409.53;159.83;21.11;0.14;0.585308;-0.274413;0.762963
406.47;153.97;24.95;0.14;0.078965;-0.365380;0.927503
404.77;150.95;25.95;0.15;0.327017;-0.558989;0.761965
403.55;148.84;26.57;0.18;0.985126;-0.026563;0.169770
402.82;147.49;27.23;0.13;0.613570;-0.401880;0.679723
402.38;146.79;27.13;0.16;0.599290;-0.449051;0.662725
402.11;146.35;27.13;0.22;0.622453;-0.432213;0.652491
408.49;157.25;22.31;0.08;0.511909;-0.252088;0.821219
404.73;150.37;25.66;0.15;0.387983;-0.551689;0.738314
409.30;158.34;20.74;0.14;0.706165;-0.203313;0.678229
409.07;157.91;20.97;0.20;0.865424;-0.156684;0.475910
403.42;147.62;25.93;0.19;0.980837;-0.160012;0.111153
403.32;147.40;26.21;0.16;0.878077;-0.291685;0.379342
407.32;153.57;22.57;0.13;0.751106;-0.355275;0.556435
407.08;153.18;22.61;0.23;0.821049;-0.269528;0.503223
407.59;153.58;22.03;0.18;0.831503;-0.328514;0.447974
407.28;153.04;22.20;0.13;0.819634;-0.087869;0.566109
407.10;152.70;22.41;0.16;0.798367;-0.067126;0.598418
407.45;152.81;21.96;0.11;0.847896;-0.189917;0.494980
407.24;151.98;21.78;0.23;0.793139;-0.231267;0.563424
406.87;150.43;21.32;0.23;0.822849;-0.356726;0.442341
407.40;151.89;21.34;0.11;0.856895;-0.205595;0.472718
406.83;150.65;21.54;0.16;0.850772;-0.337509;0.402833
407.64;153.30;21.64;0.09;0.809140;-0.219558;0.545056
409.14;157.64;20.80;0.17;0.823587;-0.195659;0.532374
408.93;157.21;20.80;0.17;0.885116;-0.099910;0.454519
407.81;154.54;22.14;0.08;0.850884;-0.202592;0.484719
409.51;158.94;20.82;0.15;0.554788;-0.268750;0.787390
408.36;156.20;22.12;0.13;0.587185;-0.259747;0.766646
408.08;155.59;22.28;0.14;0.789680;-0.207811;0.577252
409.33;159.46;21.12;0.22;0.691955;-0.244312;0.679345
407.90;156.04;22.76;0.17;0.808881;-0.223405;0.543876
407.64;155.49;22.81;0.21;0.807497;-0.212983;0.550079
409.30;159.81;21.33;0.20;0.764218;-0.249509;0.594741
408.19;157.07;22.85;0.21;0.807873;-0.200059;0.554363
406.28;153.04;24.43;0.08;0.201756;-0.425603;0.882132
409.28;160.49;21.64;0.23;0.767752;-0.191555;0.611443
409.12;160.12;21.77;0.21;0.789199;-0.231023;0.569029
408.42;158.37;22.78;0.13;0.658254;-0.261715;0.705838
406.46;153.70;24.83;0.21;0.225335;-0.387340;0.893975
409.28;160.83;21.75;0.21;0.818340;-0.156513;0.553013
409.17;160.51;22.06;0.20;0.920643;-0.185260;0.343650
408.93;159.82;22.76;0.13;0.839162;-0.063466;0.540166
408.67;159.27;22.78;0.19;0.710095;-0.159657;0.685766
406.38;154.38;24.93;0.19;0.064402;-0.343038;0.937111
410.29;164.33;20.54;0.08;0.911447;0.124225;-0.392215
410.33;164.55;20.78;0.14;0.908232;-0.022409;0.417866
407.98;158.66;23.92;0.23;0.735342;-0.236752;0.634997
408.90;161.06;22.95;0.10;0.828486;-0.001356;0.560008
403.06;147.40;26.77;0.14;0.770025;-0.353534;0.531107
406.64;155.64;25.33;0.12;0.318149;-0.274166;0.907532
409.64;163.14;21.97;0.14;0.670604;-0.129939;0.730346
406.89;156.24;25.46;0.16;0.399977;-0.209512;0.892257
409.74;163.43;21.96;0.16;0.625945;-0.185182;0.757562
408.30;159.79;23.79;0.18;0.742364;-0.155730;0.651647
406.47;155.35;25.48;0.13;0.484057;-0.253554;0.837496
410.32;164.84;20.86;0.12;0.908886;-0.055206;0.413375
