//X;Y;Z;C2C absolute distances;Nx;Ny;Nz
402.04;165.79;34.10;1.30;0.763479;-0.058729;0.643156
390.08;166.39;47.79;0.72;0.350160;-0.170158;0.921105
395.36;166.11;42.74;0.76;-0.770791;-0.539071;0.339534
401.77;165.99;34.22;1.47;0.825060;-0.109135;0.554405
395.18;166.22;43.03;0.68;0.655427;-0.009700;0.755196
404.38;165.93;32.18;0.44;0.463936;-0.118482;0.877910
396.01;166.18;42.65;0.38;0.103302;0.471226;-0.875942
404.03;166.03;32.37;0.63;0.526385;-0.096098;0.844798
399.84;166.00;36.84;1.41;0.752740;-0.129680;0.645419
390.14;165.80;47.70;0.71;0.265285;-0.145307;0.953158
402.57;165.40;33.40;1.23;0.740862;0.006924;0.671622
403.83;165.14;32.35;0.76;0.570717;-0.015127;0.821007
400.33;164.75;36.29;1.27;0.789499;-0.001373;0.613750
408.36;164.13;24.80;0.25;0.632925;-0.139154;0.761605
390.59;164.08;47.24;0.34;-0.308724;-0.239799;0.920427
409.18;163.97;22.77;0.30;0.849984;-0.092855;0.518561
403.89;163.37;32.22;0.57;0.525978;-0.136256;0.839513
390.49;163.51;47.13;0.46;-0.049223;-0.200494;0.978458
409.29;163.43;22.43;0.28;0.837766;-0.123844;0.531799
408.01;163.33;24.94;0.43;0.811880;-0.125245;0.570232
402.52;163.13;33.32;1.10;0.783953;-0.157994;0.600379
401.96;163.15;33.81;1.29;0.708955;-0.156365;0.687701
390.53;163.20;47.05;0.46;-0.101169;-0.295622;0.949933
409.22;163.13;22.48;0.27;0.846863;-0.102084;0.521921
401.90;162.85;33.78;1.32;0.803612;-0.122385;0.582434
401.83;162.54;33.78;1.35;0.802461;-0.115895;0.585342
403.23;161.22;32.15;0.88;0.686785;-0.061911;0.724220
403.61;160.15;31.65;0.65;0.564443;-0.203444;0.800009
404.58;158.99;30.53;0.26;0.571636;-0.280276;0.771154
404.21;159.03;30.57;0.53;0.609386;-0.107193;0.785594
401.92;159.03;32.97;1.16;0.629938;-0.219312;0.745037
389.00;159.04;46.75;1.80;0.344679;-0.273673;0.897942
408.67;158.55;22.70;0.26;0.630348;-0.188644;0.753044
401.73;157.81;32.78;1.18;0.654166;-0.136222;0.743983
391.60;157.61;45.17;0.31;-0.307691;-0.460756;0.832484
407.89;157.72;23.32;0.26;0.795673;-0.265224;0.544573
401.59;156.55;32.57;1.12;0.731332;-0.243777;0.636966
402.50;156.13;31.56;0.82;0.606978;-0.256981;0.752023
401.37;156.14;32.58;1.18;0.806451;-0.223586;0.547400
390.05;155.90;46.23;0.39;-0.187892;-0.409284;0.892851
391.86;155.51;43.94;0.54;0.237150;-0.488069;0.839969
388.65;155.62;46.18;1.10;0.624851;-0.149061;0.766383
404.21;154.99;28.45;0.66;0.515498;-0.452511;0.727664
391.92;154.68;43.43;0.67;0.566150;-0.327432;0.756480
407.15;154.84;23.08;0.38;0.761679;-0.239295;0.602149
404.87;154.55;27.93;0.28;0.336565;-0.430490;0.837498
402.46;154.08;30.83;0.71;0.475251;-0.378590;0.794233
400.98;153.72;31.83;1.25;0.805566;-0.264351;0.530266
386.92;153.54;47.03;1.09;0.461758;-0.290736;0.838005
392.32;153.08;42.38;0.72;0.576599;-0.316407;0.753273
392.51;152.69;42.15;0.65;-0.549725;0.146692;-0.822365
387.73;152.76;46.02;0.70;0.815997;-0.156636;0.556430
402.08;152.62;30.58;0.73;0.583826;-0.242609;0.774783
402.02;152.29;30.40;0.76;0.625227;-0.344446;0.700320
388.30;152.07;45.12;0.86;0.611415;-0.243623;0.752874
404.20;152.14;26.95;0.55;-0.816230;0.289832;-0.499765
392.59;151.68;41.57;0.69;0.742947;-0.179226;0.644909
388.32;151.74;45.01;0.82;0.579884;-0.228534;0.781989
402.83;151.70;29.42;0.45;0.730467;-0.311215;0.607917
401.34;151.44;30.54;0.95;0.405573;-0.190431;0.894006
389.57;151.12;43.78;0.81;0.464170;-0.383864;0.798244
388.70;151.12;44.59;0.70;0.608304;-0.288984;0.739225
402.95;151.20;28.93;0.41;0.829908;-0.237774;0.504694
390.18;150.79;43.62;0.54;0.098644;-0.420975;0.901693
388.53;150.85;44.53;0.77;0.619173;-0.286388;0.731168
389.65;150.58;43.52;0.79;0.532914;-0.225759;0.815497
387.92;150.58;44.97;0.70;0.438998;-0.096162;0.893327
393.30;150.11;40.26;0.63;0.632078;-0.318464;0.706440
387.72;150.10;44.89;0.71;0.588330;-0.291773;0.754146
387.47;150.11;45.08;0.74;0.618448;-0.318105;0.718562
404.00;150.52;26.15;0.56;0.764535;-0.374963;0.524299
403.08;150.35;28.30;0.29;0.839650;-0.210291;0.500764
402.79;150.32;28.80;0.35;0.678216;-0.258898;0.687746
385.65;149.88;46.41;1.62;0.650327;-0.251586;0.716784
403.58;150.27;26.95;0.46;0.941295;-0.061191;0.331992
